Close,Volume,date
31.55,38666.0,2016-01-11
33.55,39985.0,2016-01-08
33.75,44381.0,2016-01-07
34.23,43019.0,2016-01-06
36.42,29327.0,2016-01-05
37.22,41288.0,2016-01-04
37.28,17689.0,2015-12-31
36.46,18092.0,2015-12-30
37.79,19524.0,2015-12-29
36.62,11717.0,2015-12-28
37.89,12069.0,2015-12-24
37.36,28728.0,2015-12-23
36.11,22874.0,2015-12-22
36.35,22041.0,2015-12-21
36.88,30194.0,2015-12-18
37.18,24297.0,2015-12-17
37.19,1118.0,2015-12-16
38.45,8075.0,2015-12-15
37.92,12552.0,2015-12-14
37.93,31092.0,2015-12-11
39.73,36499.0,2015-12-10
40.11,54288.0,2015-12-09
40.26,43430.0,2015-12-08
40.73,39060.0,2015-12-07
43.0,43809.0,2015-12-04
43.84,40848.0,2015-12-03
42.49,43813.0,2015-12-02
44.44,35190.0,2015-12-01
44.61,29255.0,2015-11-30
44.86,23430.0,2015-11-27
46.17,29899.0,2015-11-25
46.12,32819.0,2015-11-24
44.83,38534.0,2015-11-23
44.66,29144.0,2015-11-20
44.18,23334.0,2015-11-19
44.14,28751.0,2015-11-18
43.57,29198.0,2015-11-17
43.58,35040.0,2015-11-16
43.61,687.0,2015-11-13
44.06,13932.0,2015-11-12
45.81,23241.0,2015-11-11
47.44,24475.0,2015-11-10
47.19,19896.0,2015-11-09
47.42,24275.0,2015-11-06
47.98,26058.0,2015-11-05
48.58,35211.0,2015-11-04
50.54,31478.0,2015-11-03
48.79,19352.0,2015-11-02
49.56,22329.0,2015-10-29
48.8,23743.0,2015-10-28
49.05,32294.0,2015-10-27
46.81,19347.0,2015-10-26
47.54,15230.0,2015-10-25
47.99,22871.0,2015-10-22
48.08,18472.0,2015-10-21
47.85,20633.0,2015-10-20
48.71,25631.0,2015-10-19
48.61,18932.0,2015-10-18
48.73,21575.0,2015-10-15
48.71,342.0,2015-10-14
49.15,8412.0,2015-10-13
49.24,18780.0,2015-10-12
49.86,30617.0,2015-10-11
52.65,32991.0,2015-10-08
53.05,28101.0,2015-10-07
51.33,28754.0,2015-10-06
51.92,27925.0,2015-10-05
49.25,19936.0,2015-10-04
48.13,21721.0,2015-10-01
47.69,23765.0,2015-09-30
48.37,23384.0,2015-09-29
48.23,15186.0,2015-09-28
47.34,17889.0,2015-09-27
48.6,18510.0,2015-09-24
48.17,21355.0,2015-09-23
47.75,22344.0,2015-09-22
49.08,17143.0,2015-09-21
48.92,18265.0,2015-09-20
47.47,20464.0,2015-09-17
49.08,25780.0,2015-09-16
46.61,29740.0,2015-09-15
46.63,313.0,2015-09-14
46.37,13286.0,2015-09-13
48.14,14408.0,2015-09-10
48.89,23873.0,2015-09-09
47.58,22039.0,2015-09-08
49.52,34271.0,2015-09-07
49.61,23953.0,2015-09-03
50.68,38231.0,2015-09-02
50.5,49127.0,2015-09-01
49.56,47532.0,2015-08-31
54.15,42864.0,2015-08-30
50.05,46963.0,2015-08-27
47.56,41974.0,2015-08-26
43.14,37502.0,2015-08-25
43.21,37063.0,2015-08-24
42.69,38819.0,2015-08-23
45.46,29553.0,2015-08-20
46.62,21904.0,2015-08-19
47.16,25829.0,2015-08-18
48.81,16384.0,2015-08-17
49.03,17487.0,2015-08-16
49.03,392.0,2015-08-13
49.22,18543.0,2015-08-12
49.66,21347.0,2015-08-11
49.18,29670.0,2015-08-10
50.41,25425.0,2015-08-09
48.61,36781.0,2015-08-06
49.52,37183.0,2015-08-05
49.59,43403.0,2015-08-04
49.99,25495.0,2015-08-03
49.52,40476.0,2015-08-02
52.21,30224.0,2015-07-30
53.31,33368.0,2015-07-29
53.38,46631.0,2015-07-28
53.3,38323.0,2015-07-27
53.47,27516.0,2015-07-26
54.62,23004.0,2015-07-23
55.27,28668.0,2015-07-22
56.13,25241.0,2015-07-21
57.04,24714.0,2015-07-20
56.65,20026.0,2015-07-19
57.52,18931.0,2015-07-16
57.51,935.0,2015-07-15
57.05,9759.0,2015-07-14
58.51,25176.0,2015-07-13
57.85,31544.0,2015-07-12
58.73,27423.0,2015-07-09
58.61,45873.0,2015-07-08
57.05,43120.0,2015-07-07
56.85,48111.0,2015-07-06
56.54,44988.0,2015-07-05
62.07,28960.0,2015-07-01
62.01,34865.0,2015-06-30
63.59,28326.0,2015-06-29
62.01,28570.0,2015-06-28
63.26,19797.0,2015-06-25
63.2,19341.0,2015-06-24
63.49,25722.0,2015-06-23
64.45,25137.0,2015-06-22
63.34,22360.0,2015-06-21
63.02,19112.0,2015-06-18
64.26,18570.0,2015-06-17
63.87,30479.0,2015-06-16
62.63,22148.0,2015-06-15
62.61,837.0,2015-06-14
63.87,11735.0,2015-06-11
65.11,12496.0,2015-06-10
65.7,27640.0,2015-06-09
64.88,23651.0,2015-06-08
