Date,Close/Last,Volume,Open,High,Low
08/04/2014,97.19,N/A,97.19,97.19,97.19
08/01/2014,96.76,N/A,96.76,96.76,96.76
07/31/2014,102.39,N/A,102.39,102.39,102.39
07/30/2014,102.49,N/A,102.49,102.49,102.49
07/29/2014,102.55,N/A,102.55,102.55,102.55
07/28/2014,102.65,N/A,102.65,102.65,102.65
07/25/2014,102.72,N/A,102.72,102.72,102.72
07/24/2014,102.72,N/A,102.72,102.72,102.72
07/23/2014,103,N/A,103,103,103
07/22/2014,102.77,N/A,102.77,102.77,102.77
07/21/2014,102.93,N/A,102.93,102.93,102.93
07/18/2014,101.61,N/A,101.61,101.61,101.61
07/17/2014,101.88,N/A,101.88,101.88,101.88
07/16/2014,100.37,N/A,100.37,100.37,100.37
07/15/2014,101.1,N/A,101.1,101.1,101.1
07/14/2014,101.66,N/A,101.66,101.66,101.66
07/11/2014,101.58,N/A,101.58,101.58,101.58
07/10/2014,103.01,N/A,103.01,103.01,103.01
07/09/2014,102.54,N/A,102.54,102.54,102.54
07/08/2014,103.38,N/A,103.38,103.38,103.38
07/07/2014,103.52,N/A,103.52,103.52,103.52
07/04/2014,103.96,N/A,103.96,103.96,103.96
07/03/2014,103.96,N/A,103.96,103.96,103.96
07/02/2014,104.34,N/A,104.34,104.34,104.34
07/01/2014,105.15,N/A,105.15,105.15,105.15
06/30/2014,105.15,N/A,105.15,105.15,105.15
06/27/2014,105.16,N/A,105.16,105.16,105.16
06/26/2014,105.17,N/A,105.17,105.17,105.17
06/25/2014,105.27,N/A,105.27,105.27,105.27
06/24/2014,105.18,N/A,105.18,105.18,105.18
06/23/2014,105.21,N/A,105.21,105.21,105.21
06/20/2014,105.4,N/A,105.4,105.4,105.4
06/19/2014,105.14,N/A,105.14,105.14,105.14
06/18/2014,105.35,N/A,105.35,105.35,105.35
06/17/2014,105.6,N/A,105.6,105.6,105.6
06/16/2014,105.99,N/A,105.99,105.99,105.99
06/13/2014,105.29,N/A,105.29,105.29,105.29
06/12/2014,105.07,N/A,105.07,105.07,105.07
06/11/2014,103.74,N/A,103.74,103.74,103.74
06/10/2014,103.69,N/A,103.69,103.69,103.69
06/09/2014,103.74,N/A,103.74,103.74,103.74
06/06/2014,101.66,N/A,101.66,101.66,101.66
06/05/2014,101.54,N/A,101.54,101.54,101.54
06/04/2014,101.64,N/A,101.64,101.64,101.64
06/03/2014,101.68,N/A,101.68,101.68,101.68
06/02/2014,101.5,N/A,101.5,101.5,101.5
05/30/2014,101.79,N/A,101.79,101.79,101.79
05/29/2014,101.84,N/A,101.84,101.84,101.84
05/28/2014,101.75,N/A,101.75,101.75,101.75
05/27/2014,101.95,N/A,101.95,101.95,101.95
05/26/2014,102,N/A,102,102,102
05/23/2014,102,N/A,102,102,102
05/22/2014,101.85,N/A,101.85,101.85,101.85
05/21/2014,101.95,N/A,101.95,101.95,101.95
05/20/2014,101.37,N/A,101.37,101.37,101.37
05/19/2014,101.3,N/A,101.3,101.3,101.3
05/16/2014,101.07,N/A,101.07,101.07,101.07
05/15/2014,100.85,N/A,100.85,100.85,100.85
05/14/2014,101.21,N/A,101.21,101.21,101.21
05/13/2014,100.82,N/A,100.82,100.82,100.82
05/12/2014,100.14,N/A,100.14,100.14,100.14
05/09/2014,99.73,N/A,99.73,99.73,99.73
05/08/2014,99.91,N/A,99.91,99.91,99.91
05/07/2014,100.27,N/A,100.27,100.27,100.27
05/06/2014,99.22,N/A,99.22,99.22,99.22
05/05/2014,99.24,N/A,99.24,99.24,99.24
05/02/2014,99.5,N/A,99.5,99.5,99.5
05/01/2014,99.2,N/A,99.2,99.2,99.2
04/30/2014,99.53,N/A,99.53,99.53,99.53
04/29/2014,101.05,N/A,101.05,101.05,101.05
04/28/2014,100.6,N/A,100.6,100.6,100.6
04/25/2014,102.03,N/A,102.03,102.03,102.03
04/24/2014,102.29,N/A,102.29,102.29,102.29
04/23/2014,102.17,N/A,102.17,102.17,102.17
04/22/2014,102.26,N/A,102.26,102.26,102.26
04/21/2014,102.91,N/A,102.91,102.91,102.91
04/18/2014,103.05,N/A,103.05,103.05,103.05
04/17/2014,103.05,N/A,103.05,103.05,103.05
04/16/2014,102.75,N/A,102.75,102.75,102.75
04/15/2014,102.7,N/A,102.7,102.7,102.7
04/14/2014,102.91,N/A,102.91,102.91,102.91
04/11/2014,102.27,N/A,102.27,102.27,102.27
04/10/2014,102.05,N/A,102.05,102.05,102.05
04/09/2014,102.33,N/A,102.33,102.33,102.33
04/08/2014,101.53,N/A,101.53,101.53,101.53
04/07/2014,99.53,N/A,99.53,99.53,99.53
04/04/2014,100.18,N/A,100.18,100.18,100.18
04/03/2014,99.37,N/A,99.37,99.37,99.37
04/02/2014,99.42,N/A,99.42,99.42,99.42
04/01/2014,99.54,N/A,99.54,99.54,99.54
03/31/2014,101.36,N/A,101.36,101.36,101.36
03/28/2014,101.45,N/A,101.45,101.45,101.45
03/27/2014,101.07,N/A,101.07,101.07,101.07
