Date,Close/Last,Volume,Open,High,Low
11/21/2016,48.9,41484,47.01,49.15,47
11/18/2016,46.86,39010,46.09,46.98,45.76
11/17/2016,46.49,39236,46.44,47.61,46.02
11/16/2016,46.63,43244,47,47.56,46.27
11/15/2016,46.95,42987,44.73,47.26,44.68
11/14/2016,44.43,37102,44.68,44.98,43.58
11/11/2016,44.75,36110,45.7,45.88,44.2
11/10/2016,45.84,34928,46.6,46.91,45.55
11/09/2016,46.36,52980,45.95,46.95,44.39
11/08/2016,46.04,32933,46.24,46.68,45.61
11/07/2016,46.15,29932,46.07,46.38,45.38
11/04/2016,45.58,54170,46.38,46.54,45.08
11/03/2016,46.35,33078,46.96,47.51,46
11/02/2016,46.86,44500,47.98,48.07,46.48
11/01/2016,48.14,55438,48.59,49.25,47.73
10/31/2016,48.3,1715,49.45,49.69,47.99
10/28/2016,49.71,14602,50.31,50.57,49.34
10/27/2016,50.47,20181,49.99,50.9,49.87
10/26/2016,49.98,49400,50.25,50.69,49.66
10/25/2016,50.79,34186,51.35,51.83,50.22
10/24/2016,51.46,38967,51.96,52,50.5
10/21/2016,51.78,30114,51.44,51.93,51.13
10/20/2016,51.38,29138,52.63,52.68,51.18
10/19/2016,52.67,31240,52.13,53.14,52.1
10/18/2016,51.68,27482,51.69,52.12,51.27
10/17/2016,51.52,25171,51.96,52.28,51.17
10/14/2016,51.95,20724,52.1,52.56,51.5
10/13/2016,52.03,25470,51.72,52.15,50.94
10/12/2016,51.81,24322,52.62,52.85,51.61
10/11/2016,52.41,33562,52.99,53.31,52.12
10/10/2016,53.14,28307,51.62,53.73,51.28
10/07/2016,51.93,25494,52.67,52.84,51.34
10/06/2016,52.51,24720,51.68,52.72,51.34
10/05/2016,51.86,24789,51.38,52.09,51.23
10/04/2016,50.87,24264,50.5,51.35,50.35
10/03/2016,50.89,27073,50.2,51.13,49.79
09/30/2016,50.19,26756,49.73,50.27,48.91
09/29/2016,49.24,8988,48.96,49.8,48.03
09/28/2016,48.69,27274,46.3,48.94,45.72
09/27/2016,45.97,33434,47.09,47.28,45.64
09/26/2016,47.35,20322,46.08,47.66,45.74
09/23/2016,45.89,39562,47.42,48.25,45.67
09/22/2016,47.65,27470,47.12,47.84,47.04
09/21/2016,46.83,23758,46.25,47.15,46.25
09/20/2016,45.88,26899,45.74,46.29,45.09
09/19/2016,45.95,19156,45.89,46.92,45.86
09/16/2016,45.77,18632,46.18,46.4,45.48
09/15/2016,46.59,27285,46.15,47,45.69
09/14/2016,45.85,28171,47.22,47.47,45.71
09/13/2016,47.1,21433,48.13,48.21,46.99
09/12/2016,48.32,17925,47.78,48.62,46.91
09/09/2016,48.01,18435,49.62,49.68,47.77
09/08/2016,49.99,29911,48.56,50.14,48.21
09/07/2016,47.98,17295,47.13,48.54,46.97
09/06/2016,47.98,37390,46.65,49.37,46.3
09/02/2016,47.26,124,45.77,47.01,46.42
09/01/2016,46.83,23563,47.08,47.23,45.32
08/31/2016,45.45,668,48.02,48.4,46.97
08/30/2016,46.89,8105,49.3,49.76,48.26
08/29/2016,48.37,6603,49.62,49.62,48.98
08/26/2016,49.26,26474,49.66,50.75,49.14
08/25/2016,49.92,31496,49.03,49.78,48.7
08/24/2016,49.67,41014,49.46,49.86,48.68
08/23/2016,49.05,36490,49.23,50.2,48.49
08/22/2016,49.96,27417,50.74,50.74,49.1
08/19/2016,49.16,25168,50.88,51.22,50.33
08/18/2016,50.88,27719,49.72,51.05,49.51
08/17/2016,50.89,39681,48.98,49.99,48.55
08/16/2016,49.85,27655,48.21,49.35,47.91
08/15/2016,49.23,21179,47.15,48.53,46.84
08/12/2016,48.35,23290,46.17,47.25,45.76
08/11/2016,46.97,28848,43.85,46.31,43.46
08/10/2016,46.04,24195,45,45.67,43.82
08/09/2016,44.05,17992,45.16,45.76,44.75
08/08/2016,44.98,19015,44.39,45.71,44.24
08/05/2016,45.39,24923,44.19,44.49,43.5
08/04/2016,44.27,24018,43.37,44.33,42.51
08/03/2016,44.29,29539,41.94,43.44,41.5
08/02/2016,43.1,22928,42.28,43.17,41.51
08/01/2016,41.8,21445,43.23,43.83,41.87
07/29/2016,42.14,428,42.54,42.8,41.82
07/28/2016,42.46,9358,43.62,43.75,42.58
07/27/2016,42.7,26243,44.55,44.91,43.31
07/26/2016,43.47,24559,44.79,44.98,44.15
07/25/2016,44.87,19041,45.74,45.86,44.56
07/22/2016,44.72,25052,46.08,46.49,45.18
07/21/2016,45.69,20843,47.16,47.55,46.04
07/20/2016,46.2,29114,46.72,47.5,45.9
07/19/2016,47.17,20908,47.03,47.48,46.55
07/18/2016,46.66,21885,47.77,47.87,46.5
07/15/2016,46.96,24140,47.16,48.08,46.66
07/14/2016,47.61,27492,46.6,47.47,46.35
07/13/2016,47.37,29204,48.04,48.2,46.09
07/12/2016,48.47,32126,46.2,48.56,46.12
07/11/2016,46.25,20337,46.53,47.11,45.91
07/08/2016,46.76,24146,46.6,47.23,46.15
07/07/2016,46.4,33262,49.15,49.6,46.15
07/06/2016,48.8,32563,48.11,49.3,47.17
07/05/2016,47.96,37041,50.7,50.73,47.56
07/01/2016,50.35,227,50.7,50.7,50.32
06/30/2016,49.71,1313,50.01,50.3,49.5
06/29/2016,50.61,12814,48.92,50.72,48.64
06/28/2016,48.58,22412,47.55,48.76,47.47
06/27/2016,47.16,33947,48.41,48.91,46.69
06/24/2016,48.41,52073,51.21,51.23,47.54
06/23/2016,50.91,30775,49.93,51,49.89
06/22/2016,49.88,34057,50.97,51.23,49.19
06/21/2016,50.62,28068,50.46,51.1,49.48
06/20/2016,50.65,21318,49.48,50.68,49.26
06/17/2016,49.17,21987,47.02,49.39,46.94
06/16/2016,47.19,26519,48.58,48.77,46.96
06/15/2016,48.97,32331,49.31,49.8,48.39
06/14/2016,49.83,19768,50.01,50.05,49.19
06/13/2016,50.35,18612,50.36,50.78,49.61
06/10/2016,50.54,19773,51.92,52.08,50.34
06/09/2016,51.95,19719,52.66,52.85,51.53
06/08/2016,52.51,22286,51.4,52.8,51.32
06/07/2016,51.44,21063,50.45,51.54,50.31
06/06/2016,50.55,21782,49.82,50.82,49.72
06/03/2016,49.64,21337,49.95,50.33,49.29
06/02/2016,50.04,27131,49.74,50.3,48.85
06/01/2016,49.72,25382,49.64,50.02,48.65
05/31/2016,49.89,3847,49.55,50.05,48.93
05/27/2016,49.32,132,49.55,49.55,49.21
05/26/2016,49.59,24070,49.8,50.5,49.24
05/25/2016,49.74,26452,49.15,49.93,48.9
05/24/2016,48.61,27656,48.36,49.25,47.82
05/23/2016,48.35,25010,48.76,48.81,47.6
05/20/2016,48.72,26704,48.7,49.34,48.04
05/19/2016,48.81,32757,48.56,48.87,47.39
05/18/2016,48.93,32815,49.43,49.84,48.46
05/17/2016,49.28,32026,49.11,49.63,48.57
05/16/2016,48.97,34034,47.8,49.47,47.8
05/13/2016,47.83,24214,47.82,48.1,47.26
05/12/2016,48.08,36032,47.28,48.18,46.8
05/11/2016,47.6,39613,45.53,47.75,44.83
05/10/2016,45.52,32763,43.56,45.69,43.34
05/09/2016,43.63,35143,45.87,46.46,43.49
05/06/2016,45.37,24257,45.17,46.11,44.18
05/05/2016,45.01,23815,45,46.77,44.66
05/04/2016,44.62,28883,45.23,46,44.2
05/03/2016,44.97,23480,45.91,46.39,44.63
05/02/2016,45.83,15358,47.05,47.33,45.73
04/29/2016,48.13,520,47.77,48.49,47.48
04/28/2016,48.14,9400,47.01,48.18,46.75
04/27/2016,47.18,17132,46.26,47.44,45.64
04/26/2016,45.74,27469,44.77,46.48,44.38
04/25/2016,44.48,29457,45.13,45.59,44.27
04/22/2016,45.11,33592,44.66,45.89,44.3
04/21/2016,44.53,33595,45.41,46.17,44.46
04/20/2016,45.8,32328,43.94,45.89,42.83
04/19/2016,44.03,40371,43.12,44.51,42.6
04/18/2016,42.91,37379,41.75,43.41,40.07
04/15/2016,43.1,29706,43.82,44.06,42.29
04/14/2016,43.84,25395,44.01,44.6,43.3
04/13/2016,44.18,37102,44.21,44.93,43.77
04/12/2016,44.69,38708,42.6,44.8,42.43
04/11/2016,42.83,26873,42.07,43.06,41.43
04/08/2016,41.94,32172,39.73,42,39.62
04/07/2016,39.43,34195,39.93,40.28,38.71
04/06/2016,39.84,33227,38.4,39.93,38.2
04/05/2016,37.87,26599,37.44,38.39,37.28
04/04/2016,37.69,24149,38.67,38.91,37.51
04/01/2016,38.67,20278,40.03,40.44,38.55
03/31/2016,40.33,399,39.11,40.02,38.82
03/30/2016,39.26,10373,39.4,40.59,39.13
03/29/2016,39.14,17463,40.21,40.23,38.77
03/28/2016,40.27,10295,40.5,41,39.66
03/24/2016,40.44,24144,40.33,40.64,39.22
03/23/2016,40.47,29089,41.57,41.81,40.4
03/22/2016,41.79,30930,41.51,42.12,40.98
03/21/2016,41.54,24880,41.2,41.87,40.49
03/18/2016,41.2,36174,41.38,42.54,40.84
03/17/2016,41.54,31476,40.2,41.59,40.2
03/16/2016,41.54,30116,38.99,40.42,38.85
03/15/2016,38.74,22657,39.74,39.77,38.32
03/14/2016,39.53,30990,40.26,40.55,38.82
03/11/2016,40.39,22569,40.25,41.01,40.03
03/10/2016,40.05,27839,40.84,41,39.65
03/09/2016,41.07,28878,39.52,41.24,39.42
